item1,item2,value1,value2,value3,value4,value5,value6,value7,value8
"112年 1月",連江縣,31,4,25,2,0,0,0,6.45
"112年 1月",金門縣,31,5,23,2,1,0,0,9.68
"112年 1月",嘉義市,31,5,19,5,2,0,0,22.58
"112年 1月",新竹市,31,15,16,0,0,0,0,0
"112年 1月",基隆市,31,15,16,0,0,0,0,0
"112年 1月",澎湖縣,31,14,17,0,0,0,0,0
"112年 1月",花蓮縣,31,29,2,0,0,0,0,0
"112年 1月",臺東縣,31,31,0,0,0,0,0,0
"112年 1月",屏東縣,93,29,44,20,0,0,0,21.51
"112年 1月",嘉義縣,62,11,39,12,0,0,0,19.35
"112年 1月",雲林縣,62,10,38,12,2,0,0,22.58
"112年 1月",南投縣,62,13,39,9,1,0,0,16.13
"112年 1月",彰化縣,62,14,39,8,1,0,0,14.52
"112年 1月",苗栗縣,62,31,31,0,0,0,0,0
"112年 1月",新竹縣,62,33,27,2,0,0,0,3.23
"112年 1月",宜蘭縣,62,48,14,0,0,0,0,0
"112年 1月",高雄市,248,9,180,59,0,0,0,23.79
"112年 1月",臺南市,124,12,91,18,3,0,0,16.94
"112年 1月",臺中市,155,67,82,6,0,0,0,3.87
"112年 1月",桃園市,124,57,64,3,0,0,0,2.42
"112年 1月",臺北市,155,68,87,0,0,0,0,0
"112年 1月",新北市,279,145,134,0,0,0,0,0
"112年 1月",總計,1860,665,1027,158,10,0,0,9.03
"111年 12月",連江縣,31,16,14,1,0,0,0,3.23
"111年 12月",金門縣,31,12,19,0,0,0,0,0
"111年 12月",嘉義市,31,19,12,0,0,0,0,0
"111年 12月",新竹市,31,26,5,0,0,0,0,0
"111年 12月",基隆市,31,25,6,0,0,0,0,0
"111年 12月",澎湖縣,31,25,6,0,0,0,0,0
"111年 12月",花蓮縣,31,31,0,0,0,0,0,0
"111年 12月",臺東縣,31,31,0,0,0,0,0,0
"111年 12月",屏東縣,93,34,49,10,0,0,0,10.75
"111年 12月",嘉義縣,62,40,22,0,0,0,0,0
"111年 12月",雲林縣,62,34,28,0,0,0,0,0
"111年 12月",南投縣,62,37,25,0,0,0,0,0
"111年 12月",彰化縣,62,40,22,0,0,0,0,0
"111年 12月",苗栗縣,62,56,6,0,0,0,0,0
"111年 12月",新竹縣,62,55,7,0,0,0,0,0
"111年 12月",宜蘭縣,62,60,2,0,0,0,0,0
"111年 12月",高雄市,248,39,203,6,0,0,0,2.42
"111年 12月",臺南市,124,57,66,1,0,0,0,0.81
"111年 12月",臺中市,155,127,28,0,0,0,0,0
"111年 12月",桃園市,124,96,28,0,0,0,0,0
"111年 12月",臺北市,155,86,69,0,0,0,0,0
"111年 12月",新北市,279,195,84,0,0,0,0,0
"111年 12月",總計,1860,1141,701,18,0,0,0,0.97
"111年 11月",連江縣,30,20,10,0,0,0,0,0
"111年 11月",金門縣,30,15,15,0,0,0,0,0
"111年 11月",嘉義市,30,8,19,3,0,0,0,10
"111年 11月",新竹市,30,23,7,0,0,0,0,0
"111年 11月",基隆市,30,27,3,0,0,0,0,0
"111年 11月",澎湖縣,30,25,5,0,0,0,0,0
"111年 11月",花蓮縣,30,30,0,0,0,0,0,0
"111年 11月",臺東縣,30,30,0,0,0,0,0,0
"111年 11月",屏東縣,90,35,35,19,1,0,0,22.22
"111年 11月",嘉義縣,60,15,40,5,0,0,0,8.33
"111年 11月",雲林縣,60,12,42,6,0,0,0,10
"111年 11月",南投縣,60,17,36,7,0,0,0,11.67
"111年 11月",彰化縣,60,22,35,3,0,0,0,5
"111年 11月",苗栗縣,60,39,20,1,0,0,0,1.67
"111年 11月",新竹縣,60,50,10,0,0,0,0,0
"111年 11月",宜蘭縣,60,59,1,0,0,0,0,0
"111年 11月",高雄市,240,22,166,52,0,0,0,21.67
"111年 11月",臺南市,120,25,80,15,0,0,0,12.5
"111年 11月",臺中市,150,75,73,2,0,0,0,1.33
"111年 11月",桃園市,120,95,25,0,0,0,0,0
"111年 11月",臺北市,150,119,31,0,0,0,0,0
"111年 11月",新北市,270,240,30,0,0,0,0,0
"111年 11月",總計,1800,1003,683,113,1,0,0,6.33
"111年 10月",連江縣,31,16,14,1,0,0,0,3.23
"111年 10月",金門縣,31,13,18,0,0,0,0,0
"111年 10月",嘉義市,31,9,19,3,0,0,0,9.68
"111年 10月",新竹市,31,27,4,0,0,0,0,0
"111年 10月",基隆市,31,28,3,0,0,0,0,0
"111年 10月",澎湖縣,31,26,5,0,0,0,0,0
"111年 10月",花蓮縣,31,31,0,0,0,0,0,0
"111年 10月",臺東縣,31,31,0,0,0,0,0,0
"111年 10月",屏東縣,93,36,41,14,2,0,0,17.2
"111年 10月",嘉義縣,62,17,42,3,0,0,0,4.84
"111年 10月",雲林縣,62,19,35,8,0,0,0,12.9
"111年 10月",南投縣,62,25,28,9,0,0,0,14.52
"111年 10月",彰化縣,62,38,20,4,0,0,0,6.45
"111年 10月",苗栗縣,62,49,13,0,0,0,0,0
"111年 10月",新竹縣,62,53,6,3,0,0,0,4.84
"111年 10月",宜蘭縣,62,62,0,0,0,0,0,0
"111年 10月",高雄市,248,30,193,25,0,0,0,10.08
"111年 10月",臺南市,124,27,92,5,0,0,0,4.03
"111年 10月",臺中市,155,106,44,5,0,0,0,3.23
"111年 10月",桃園市,124,108,10,6,0,0,0,4.84
"111年 10月",臺北市,155,134,17,4,0,0,0,2.58
"111年 10月",新北市,279,245,23,9,2,0,0,3.94
"111年 10月",總計,1860,1130,627,99,4,0,0,5.54
"111年 9月",連江縣,30,4,13,9,4,0,0,43.33
"111年 9月",金門縣,30,4,9,11,4,2,0,56.67
"111年 9月",嘉義市,30,8,12,10,0,0,0,33.33
"111年 9月",新竹市,30,16,10,4,0,0,0,13.33
"111年 9月",基隆市,30,17,7,6,0,0,0,20
"111年 9月",澎湖縣,30,8,13,6,3,0,0,30
"111年 9月",花蓮縣,30,23,6,1,0,0,0,3.33
"111年 9月",臺東縣,30,27,3,0,0,0,0,0
"111年 9月",屏東縣,90,30,40,17,3,0,0,22.22
"111年 9月",嘉義縣,60,9,34,14,3,0,0,28.33
"111年 9月",雲林縣,60,14,28,16,2,0,0,30
"111年 9月",南投縣,60,16,20,23,1,0,0,40
"111年 9月",彰化縣,60,15,32,11,2,0,0,21.67
"111年 9月",苗栗縣,60,24,24,11,1,0,0,20
"111年 9月",新竹縣,60,27,19,12,2,0,0,23.33
"111年 9月",宜蘭縣,60,43,12,5,0,0,0,8.33
"111年 9月",高雄市,240,56,134,40,10,0,0,20.83
"111年 9月",臺南市,118,31,50,32,5,0,0,31.36
"111年 9月",臺中市,150,47,72,30,1,0,0,20.67
"111年 9月",桃園市,120,63,38,18,1,0,0,15.83
"111年 9月",臺北市,150,94,44,11,1,0,0,8
"111年 9月",新北市,270,152,79,34,5,0,0,14.44
"111年 9月",總計,1798,728,699,321,48,2,0,20.63
"111年 8月",連江縣,31,22,8,1,0,0,0,3.23
"111年 8月",金門縣,31,20,7,3,0,1,0,12.9
"111年 8月",嘉義市,31,29,2,0,0,0,0,0
"111年 8月",新竹市,31,28,3,0,0,0,0,0
"111年 8月",基隆市,31,25,6,0,0,0,0,0
"111年 8月",澎湖縣,31,29,2,0,0,0,0,0
"111年 8月",花蓮縣,31,31,0,0,0,0,0,0
"111年 8月",臺東縣,31,31,0,0,0,0,0,0
"111年 8月",屏東縣,93,85,8,0,0,0,0,0
"111年 8月",嘉義縣,62,57,5,0,0,0,0,0
"111年 8月",雲林縣,62,56,6,0,0,0,0,0
"111年 8月",南投縣,61,53,7,1,0,0,0,1.64
"111年 8月",彰化縣,62,55,7,0,0,0,0,0
"111年 8月",苗栗縣,62,46,16,0,0,0,0,0
"111年 8月",新竹縣,62,50,12,0,0,0,0,0
"111年 8月",宜蘭縣,62,62,0,0,0,0,0,0
"111年 8月",高雄市,248,225,23,0,0,0,0,0
"111年 8月",臺南市,124,113,11,0,0,0,0,0
"111年 8月",臺中市,155,137,18,0,0,0,0,0
"111年 8月",桃園市,124,93,26,5,0,0,0,4.03
"111年 8月",臺北市,152,119,30,3,0,0,0,1.97
"111年 8月",新北市,279,212,62,5,0,0,0,1.79
"111年 8月",總計,1856,1578,259,18,0,1,0,1.02
"111年 7月",連江縣,31,21,8,2,0,0,0,6.45
"111年 7月",金門縣,31,22,7,1,1,0,0,6.45
"111年 7月",嘉義市,31,30,1,0,0,0,0,0
"111年 7月",新竹市,31,30,1,0,0,0,0,0
"111年 7月",基隆市,31,25,6,0,0,0,0,0
"111年 7月",澎湖縣,31,30,1,0,0,0,0,0
"111年 7月",花蓮縣,31,30,1,0,0,0,0,0
"111年 7月",臺東縣,31,31,0,0,0,0,0,0
"111年 7月",屏東縣,93,89,4,0,0,0,0,0
"111年 7月",嘉義縣,62,59,3,0,0,0,0,0
"111年 7月",雲林縣,62,60,2,0,0,0,0,0
"111年 7月",南投縣,62,58,4,0,0,0,0,0
"111年 7月",彰化縣,62,60,2,0,0,0,0,0
"111年 7月",苗栗縣,62,62,0,0,0,0,0,0
"111年 7月",新竹縣,62,59,3,0,0,0,0,0
"111年 7月",宜蘭縣,62,55,7,0,0,0,0,0
"111年 7月",高雄市,248,238,10,0,0,0,0,0
"111年 7月",臺南市,123,118,5,0,0,0,0,0
"111年 7月",臺中市,155,149,6,0,0,0,0,0
"111年 7月",桃園市,124,117,7,0,0,0,0,0
"111年 7月",臺北市,155,110,44,1,0,0,0,0.65
"111年 7月",新北市,279,200,75,4,0,0,0,1.43
"111年 7月",總計,1859,1653,197,8,1,0,0,0.48
"111年 6月",連江縣,30,25,5,0,0,0,0,0
"111年 6月",金門縣,30,29,1,0,0,0,0,0
"111年 6月",嘉義市,30,29,1,0,0,0,0,0
"111年 6月",新竹市,30,30,0,0,0,0,0,0
"111年 6月",基隆市,30,28,2,0,0,0,0,0
"111年 6月",澎湖縣,30,28,2,0,0,0,0,0
"111年 6月",花蓮縣,30,30,0,0,0,0,0,0
"111年 6月",臺東縣,30,30,0,0,0,0,0,0
"111年 6月",屏東縣,90,86,4,0,0,0,0,0
"111年 6月",嘉義縣,60,58,2,0,0,0,0,0
"111年 6月",雲林縣,60,58,2,0,0,0,0,0
"111年 6月",南投縣,60,56,4,0,0,0,0,0
"111年 6月",彰化縣,60,58,2,0,0,0,0,0
"111年 6月",苗栗縣,52,52,0,0,0,0,0,0
"111年 6月",新竹縣,60,60,0,0,0,0,0,0
"111年 6月",宜蘭縣,60,59,1,0,0,0,0,0
"111年 6月",高雄市,240,232,7,0,1,0,0,0.42
"111年 6月",臺南市,120,119,1,0,0,0,0,0
"111年 6月",臺中市,150,147,3,0,0,0,0,0
"111年 6月",桃園市,120,111,9,0,0,0,0,0
"111年 6月",臺北市,150,105,45,0,0,0,0,0
"111年 6月",新北市,270,212,56,2,0,0,0,0.74
"111年 6月",總計,1792,1642,147,2,1,0,0,0.17
"111年 5月",連江縣,31,17,9,4,1,0,0,16.13
"111年 5月",金門縣,31,12,15,4,0,0,0,12.9
"111年 5月",嘉義市,31,15,16,0,0,0,0,0
"111年 5月",新竹市,31,28,3,0,0,0,0,0
"111年 5月",基隆市,31,25,6,0,0,0,0,0
"111年 5月",澎湖縣,31,16,13,2,0,0,0,6.45
"111年 5月",花蓮縣,31,28,3,0,0,0,0,0
"111年 5月",臺東縣,31,31,0,0,0,0,0,0
"111年 5月",屏東縣,93,62,20,9,2,0,0,11.83
"111年 5月",嘉義縣,62,32,30,0,0,0,0,0
"111年 5月",雲林縣,62,33,25,4,0,0,0,6.45
"111年 5月",南投縣,62,36,17,9,0,0,0,14.52
"111年 5月",彰化縣,62,35,27,0,0,0,0,0
"111年 5月",苗栗縣,62,53,9,0,0,0,0,0
"111年 5月",新竹縣,62,56,6,0,0,0,0,0
"111年 5月",宜蘭縣,62,57,5,0,0,0,0,0
"111年 5月",高雄市,248,120,110,17,1,0,0,7.26
"111年 5月",臺南市,124,64,53,7,0,0,0,5.65
"111年 5月",臺中市,155,115,39,1,0,0,0,0.65
"111年 5月",桃園市,124,104,20,0,0,0,0,0
"111年 5月",臺北市,155,118,37,0,0,0,0,0
"111年 5月",新北市,279,224,54,1,0,0,0,0.36
"111年 5月",總計,1860,1281,517,58,4,0,0,3.33
"111年 4月",連江縣,30,4,20,6,0,0,0,20
"111年 4月",金門縣,30,6,16,8,0,0,0,26.67
"111年 4月",嘉義市,30,7,17,6,0,0,0,20
"111年 4月",新竹市,30,12,18,0,0,0,0,0
"111年 4月",基隆市,30,16,14,0,0,0,0,0
"111年 4月",澎湖縣,30,11,16,3,0,0,0,10
"111年 4月",花蓮縣,30,24,5,1,0,0,0,3.33
"111年 4月",臺東縣,30,28,2,0,0,0,0,0
"111年 4月",屏東縣,90,44,22,24,0,0,0,26.67
"111年 4月",嘉義縣,60,11,47,2,0,0,0,3.33
"111年 4月",雲林縣,60,14,40,6,0,0,0,10
"111年 4月",南投縣,60,16,33,11,0,0,0,18.33
"111年 4月",彰化縣,60,18,40,2,0,0,0,3.33
"111年 4月",苗栗縣,60,34,24,2,0,0,0,3.33
"111年 4月",新竹縣,60,27,31,2,0,0,0,3.33
"111年 4月",宜蘭縣,60,49,11,0,0,0,0,0
"111年 4月",高雄市,240,68,126,44,2,0,0,19.17
"111年 4月",臺南市,120,38,78,4,0,0,0,3.33
"111年 4月",臺中市,150,64,81,5,0,0,0,3.33
"111年 4月",桃園市,120,48,68,4,0,0,0,3.33
"111年 4月",臺北市,150,56,92,2,0,0,0,1.33
"111年 4月",新北市,270,101,161,8,0,0,0,2.96
"111年 4月",總計,1800,696,962,140,2,0,0,7.89
"111年 3月",連江縣,31,3,24,2,2,0,0,12.9
"111年 3月",金門縣,31,6,17,7,1,0,0,25.81
"111年 3月",嘉義市,31,3,15,10,3,0,0,41.94
"111年 3月",新竹市,31,7,21,3,0,0,0,9.68
"111年 3月",基隆市,31,18,12,1,0,0,0,3.23
"111年 3月",澎湖縣,31,8,20,3,0,0,0,9.68
"111年 3月",花蓮縣,31,27,4,0,0,0,0,0
"111年 3月",臺東縣,31,28,3,0,0,0,0,0
"111年 3月",屏東縣,93,31,41,15,6,0,0,22.58
"111年 3月",嘉義縣,62,5,35,19,3,0,0,35.48
"111年 3月",雲林縣,62,8,34,16,4,0,0,32.26
"111年 3月",南投縣,62,4,35,22,1,0,0,37.1
"111年 3月",彰化縣,62,8,37,15,2,0,0,27.42
"111年 3月",苗栗縣,62,25,31,6,0,0,0,9.68
"111年 3月",新竹縣,62,21,39,2,0,0,0,3.23
"111年 3月",宜蘭縣,62,51,11,0,0,0,0,0
"111年 3月",高雄市,243,15,169,54,5,0,0,24.28
"111年 3月",臺南市,124,8,75,36,5,0,0,33.06
"111年 3月",臺中市,155,26,100,29,0,0,0,18.71
"111年 3月",桃園市,124,37,79,8,0,0,0,6.45
"111年 3月",臺北市,155,52,99,4,0,0,0,2.58
"111年 3月",新北市,279,113,160,6,0,0,0,2.15
"111年 3月",總計,1855,504,1061,258,32,0,0,15.63
"111年 2月",連江縣,28,14,10,4,0,0,0,14.29
"111年 2月",金門縣,28,15,12,1,0,0,0,3.57
"111年 2月",嘉義市,28,8,17,3,0,0,0,10.71
"111年 2月",新竹市,28,23,5,0,0,0,0,0
"111年 2月",基隆市,28,22,6,0,0,0,0,0
"111年 2月",澎湖縣,28,17,9,2,0,0,0,7.14
"111年 2月",花蓮縣,28,28,0,0,0,0,0,0
"111年 2月",臺東縣,28,28,0,0,0,0,0,0
"111年 2月",屏東縣,84,30,38,15,1,0,0,19.05
"111年 2月",嘉義縣,56,18,34,4,0,0,0,7.14
"111年 2月",雲林縣,56,28,25,3,0,0,0,5.36
"111年 2月",南投縣,56,24,32,0,0,0,0,0
"111年 2月",彰化縣,56,34,21,1,0,0,0,1.79
"111年 2月",苗栗縣,56,48,8,0,0,0,0,0
"111年 2月",新竹縣,56,48,7,1,0,0,0,1.79
"111年 2月",宜蘭縣,56,56,0,0,0,0,0,0
"111年 2月",高雄市,224,15,157,51,1,0,0,23.21
"111年 2月",臺南市,112,30,71,11,0,0,0,9.82
"111年 2月",臺中市,140,94,46,0,0,0,0,0
"111年 2月",桃園市,112,82,29,1,0,0,0,0.89
"111年 2月",臺北市,140,68,72,0,0,0,0,0
"111年 2月",新北市,252,170,82,0,0,0,0,0
"111年 2月",總計,1680,900,681,97,2,0,0,5.89
"111年 1月",連江縣,31,6,19,5,1,0,0,19.35
"111年 1月",金門縣,31,8,18,4,1,0,0,16.13
"111年 1月",嘉義市,31,1,22,7,1,0,0,25.81
"111年 1月",新竹市,31,18,13,0,0,0,0,0
"111年 1月",基隆市,31,23,8,0,0,0,0,0
"111年 1月",澎湖縣,31,15,16,0,0,0,0,0
"111年 1月",花蓮縣,31,30,1,0,0,0,0,0
"111年 1月",臺東縣,31,31,0,0,0,0,0,0
"111年 1月",屏東縣,93,30,33,29,1,0,0,32.26
"111年 1月",嘉義縣,62,9,48,5,0,0,0,8.06
"111年 1月",雲林縣,62,16,41,4,1,0,0,8.06
"111年 1月",南投縣,62,8,51,2,1,0,0,4.84
"111年 1月",彰化縣,62,28,34,0,0,0,0,0
"111年 1月",苗栗縣,62,43,19,0,0,0,0,0
"111年 1月",新竹縣,62,45,17,0,0,0,0,0
"111年 1月",宜蘭縣,62,55,7,0,0,0,0,0
"111年 1月",高雄市,248,6,159,79,4,0,0,33.47
"111年 1月",臺南市,124,7,95,22,0,0,0,17.74
"111年 1月",臺中市,155,75,80,0,0,0,0,0
"111年 1月",桃園市,124,77,47,0,0,0,0,0
"111年 1月",臺北市,155,75,80,0,0,0,0,0
"111年 1月",新北市,279,181,98,0,0,0,0,0
"111年 1月",總計,1860,787,906,157,10,0,0,8.98
111年,連江縣,365,168,154,35,8,0,0,11.78
111年,金門縣,365,162,154,39,7,3,0,13.42
111年,嘉義市,365,166,153,42,4,0,0,12.6
111年,新竹市,365,268,90,7,0,0,0,1.92
111年,基隆市,365,279,79,7,0,0,0,1.92
111年,澎湖縣,365,238,108,16,3,0,0,5.21
111年,花蓮縣,365,343,20,2,0,0,0,0.55
111年,臺東縣,365,357,8,0,0,0,0,0
111年,屏東縣,1095,592,335,152,16,0,0,15.34
111年,嘉義縣,730,330,342,52,6,0,0,7.95
111年,雲林縣,730,352,308,63,7,0,0,9.59
111年,南投縣,729,350,292,84,3,0,0,11.93
111年,彰化縣,730,411,279,36,4,0,0,5.48
111年,苗栗縣,722,531,170,20,1,0,0,2.91
111年,新竹縣,730,551,157,20,2,0,0,3.01
111年,宜蘭縣,730,668,57,5,0,0,0,0.68
111年,高雄市,2915,1066,1457,368,24,0,0,13.45
111年,臺南市,1457,637,677,133,10,0,0,9.81
111年,臺中市,1825,1162,590,72,1,0,0,4
111年,桃園市,1460,1031,386,42,1,0,0,2.95
111年,臺北市,1822,1136,660,25,1,0,0,1.43
111年,新北市,3285,2245,964,69,7,0,0,2.31
111年,總計,21880,13043,7440,1289,105,3,0,6.38
"110年 12月",連江縣,31,3,24,3,1,0,0,12.9
"110年 12月",金門縣,31,2,24,5,0,0,0,16.13
"110年 12月",嘉義市,31,2,25,4,0,0,0,12.9
"110年 12月",新竹市,31,20,11,0,0,0,0,0
"110年 12月",基隆市,31,22,9,0,0,0,0,0
"110年 12月",澎湖縣,31,15,16,0,0,0,0,0
"110年 12月",花蓮縣,31,28,3,0,0,0,0,0
"110年 12月",臺東縣,31,30,1,0,0,0,0,0
"110年 12月",屏東縣,93,28,39,26,0,0,0,27.96
"110年 12月",嘉義縣,62,14,44,4,0,0,0,6.45
"110年 12月",雲林縣,62,8,48,6,0,0,0,9.68
"110年 12月",南投縣,62,9,49,4,0,0,0,6.45
"110年 12月",彰化縣,62,29,29,4,0,0,0,6.45
"110年 12月",苗栗縣,62,42,20,0,0,0,0,0
"110年 12月",新竹縣,62,45,17,0,0,0,0,0
"110年 12月",宜蘭縣,62,57,5,0,0,0,0,0
"110年 12月",高雄市,248,4,169,73,2,0,0,30.24
"110年 12月",臺南市,124,12,97,15,0,0,0,12.1
"110年 12月",臺中市,155,71,83,1,0,0,0,0.65
"110年 12月",桃園市,124,73,51,0,0,0,0,0
"110年 12月",臺北市,153,67,86,0,0,0,0,0
"110年 12月",新北市,279,157,122,0,0,0,0,0
"110年 12月",總計,1858,738,972,145,3,0,0,7.97
"110年 11月",連江縣,30,10,18,2,0,0,0,6.67
"110年 11月",金門縣,30,6,23,1,0,0,0,3.33
"110年 11月",嘉義市,30,2,25,3,0,0,0,10
"110年 11月",新竹市,30,17,13,0,0,0,0,0
"110年 11月",基隆市,30,24,6,0,0,0,0,0
"110年 11月",澎湖縣,30,12,17,1,0,0,0,3.33
"110年 11月",花蓮縣,30,27,3,0,0,0,0,0
"110年 11月",臺東縣,30,30,0,0,0,0,0,0
"110年 11月",屏東縣,90,28,42,18,2,0,0,22.22
"110年 11月",嘉義縣,60,12,46,2,0,0,0,3.33
"110年 11月",雲林縣,60,7,48,5,0,0,0,8.33
"110年 11月",南投縣,60,9,44,6,1,0,0,11.67
"110年 11月",彰化縣,60,26,30,4,0,0,0,6.67
"110年 11月",苗栗縣,60,41,15,4,0,0,0,6.67
"110年 11月",新竹縣,60,45,15,0,0,0,0,0
"110年 11月",宜蘭縣,60,55,5,0,0,0,0,0
"110年 11月",高雄市,235,4,200,29,2,0,0,13.19
"110年 11月",臺南市,120,13,98,9,0,0,0,7.5
"110年 11月",臺中市,150,66,76,8,0,0,0,5.33
"110年 11月",桃園市,120,80,40,0,0,0,0,0
"110年 11月",臺北市,150,78,72,0,0,0,0,0
"110年 11月",新北市,270,178,92,0,0,0,0,0
"110年 11月",總計,1795,770,928,92,5,0,0,5.4
"110年 10月",連江縣,31,19,8,4,0,0,0,12.9
