item1,item2,value1,value2,value3,value4,value5,value6,value7,value8
"110年 10月",金門縣,31,15,13,2,1,0,0,9.68
"110年 10月",嘉義市,31,8,12,11,0,0,0,35.48
"110年 10月",新竹市,31,22,5,4,0,0,0,12.9
"110年 10月",基隆市,31,29,2,0,0,0,0,0
"110年 10月",澎湖縣,31,12,18,1,0,0,0,3.23
"110年 10月",花蓮縣,31,31,0,0,0,0,0,0
"110年 10月",臺東縣,31,30,1,0,0,0,0,0
"110年 10月",屏東縣,93,42,30,20,1,0,0,22.58
"110年 10月",嘉義縣,62,18,38,6,0,0,0,9.68
"110年 10月",雲林縣,62,12,34,16,0,0,0,25.81
"110年 10月",南投縣,62,13,25,21,3,0,0,38.71
"110年 10月",彰化縣,62,22,27,11,2,0,0,20.97
"110年 10月",苗栗縣,62,31,14,13,4,0,0,27.42
"110年 10月",新竹縣,62,48,7,7,0,0,0,11.29
"110年 10月",宜蘭縣,62,62,0,0,0,0,0,0
"110年 10月",高雄市,248,42,148,52,6,0,0,23.39
"110年 10月",臺南市,124,39,65,20,0,0,0,16.13
"110年 10月",臺中市,155,59,47,37,12,0,0,31.61
"110年 10月",桃園市,124,115,9,0,0,0,0,0
"110年 10月",臺北市,155,120,35,0,0,0,0,0
"110年 10月",新北市,279,236,43,0,0,0,0,0
"110年 10月",總計,1860,1025,581,225,29,0,0,13.66
"110年 9月",連江縣,30,13,17,0,0,0,0,0
"110年 9月",金門縣,30,15,11,4,0,0,0,13.33
"110年 9月",嘉義市,30,16,12,2,0,0,0,6.67
"110年 9月",新竹市,30,19,10,1,0,0,0,3.33
"110年 9月",基隆市,30,27,3,0,0,0,0,0
"110年 9月",澎湖縣,30,23,6,1,0,0,0,3.33
"110年 9月",花蓮縣,30,30,0,0,0,0,0,0
"110年 9月",臺東縣,30,30,0,0,0,0,0,0
"110年 9月",屏東縣,90,53,31,6,0,0,0,6.67
"110年 9月",嘉義縣,60,27,31,2,0,0,0,3.33
"110年 9月",雲林縣,60,27,29,4,0,0,0,6.67
"110年 9月",南投縣,60,28,20,10,2,0,0,20
"110年 9月",彰化縣,60,29,25,5,1,0,0,10
"110年 9月",苗栗縣,60,29,27,3,1,0,0,6.67
"110年 9月",新竹縣,60,36,20,4,0,0,0,6.67
"110年 9月",宜蘭縣,60,59,1,0,0,0,0,0
"110年 9月",高雄市,240,107,125,8,0,0,0,3.33
"110年 9月",臺南市,120,66,48,6,0,0,0,5
"110年 9月",臺中市,150,70,67,8,5,0,0,8.67
"110年 9月",桃園市,120,82,37,1,0,0,0,0.83
"110年 9月",臺北市,150,119,28,3,0,0,0,2
"110年 9月",新北市,270,210,51,9,0,0,0,3.33
"110年 9月",總計,1800,1115,599,77,9,0,0,4.78
"110年 8月",連江縣,31,25,6,0,0,0,0,0
"110年 8月",金門縣,31,25,5,1,0,0,0,3.23
"110年 8月",嘉義市,31,30,1,0,0,0,0,0
"110年 8月",新竹市,31,26,5,0,0,0,0,0
"110年 8月",基隆市,31,27,4,0,0,0,0,0
"110年 8月",澎湖縣,31,29,2,0,0,0,0,0
"110年 8月",花蓮縣,31,31,0,0,0,0,0,0
"110年 8月",臺東縣,31,31,0,0,0,0,0,0
"110年 8月",屏東縣,93,87,3,3,0,0,0,3.23
"110年 8月",嘉義縣,62,53,9,0,0,0,0,0
"110年 8月",雲林縣,62,53,9,0,0,0,0,0
"110年 8月",南投縣,62,55,7,0,0,0,0,0
"110年 8月",彰化縣,62,54,8,0,0,0,0,0
"110年 8月",苗栗縣,62,52,10,0,0,0,0,0
"110年 8月",新竹縣,62,53,8,1,0,0,0,1.61
"110年 8月",宜蘭縣,62,61,1,0,0,0,0,0
"110年 8月",高雄市,248,191,52,4,1,0,0,2.02
"110年 8月",臺南市,124,112,12,0,0,0,0,0
"110年 8月",臺中市,155,128,26,1,0,0,0,0.65
"110年 8月",桃園市,124,97,26,1,0,0,0,0.81
"110年 8月",臺北市,155,96,59,0,0,0,0,0
"110年 8月",新北市,279,194,85,0,0,0,0,0
"110年 8月",總計,1860,1510,338,11,1,0,0,0.65
"110年 7月",連江縣,31,27,2,2,0,0,0,6.45
"110年 7月",金門縣,31,26,2,3,0,0,0,9.68
"110年 7月",嘉義市,31,30,1,0,0,0,0,0
"110年 7月",新竹市,31,25,6,0,0,0,0,0
"110年 7月",基隆市,31,25,6,0,0,0,0,0
"110年 7月",澎湖縣,31,30,1,0,0,0,0,0
"110年 7月",花蓮縣,31,31,0,0,0,0,0,0
"110年 7月",臺東縣,31,31,0,0,0,0,0,0
"110年 7月",屏東縣,93,90,3,0,0,0,0,0
"110年 7月",嘉義縣,62,58,4,0,0,0,0,0
"110年 7月",雲林縣,62,52,10,0,0,0,0,0
"110年 7月",南投縣,62,53,7,2,0,0,0,3.23
"110年 7月",彰化縣,62,53,8,1,0,0,0,1.61
"110年 7月",苗栗縣,62,59,3,0,0,0,0,0
"110年 7月",新竹縣,62,54,7,1,0,0,0,1.61
"110年 7月",宜蘭縣,62,62,0,0,0,0,0,0
"110年 7月",高雄市,248,222,26,0,0,0,0,0
"110年 7月",臺南市,124,124,0,0,0,0,0,0
"110年 7月",臺中市,155,131,21,3,0,0,0,1.94
"110年 7月",桃園市,124,105,19,0,0,0,0,0
"110年 7月",臺北市,155,121,27,5,2,0,0,4.52
"110年 7月",新北市,279,219,56,4,0,0,0,1.43
"110年 7月",總計,1860,1628,209,21,2,0,0,1.24
"110年 6月",連江縣,30,10,18,2,0,0,0,6.67
"110年 6月",金門縣,30,24,6,0,0,0,0,0
"110年 6月",嘉義市,30,30,0,0,0,0,0,0
"110年 6月",新竹市,30,25,5,0,0,0,0,0
"110年 6月",基隆市,30,27,3,0,0,0,0,0
"110年 6月",澎湖縣,30,28,2,0,0,0,0,0
"110年 6月",花蓮縣,30,30,0,0,0,0,0,0
"110年 6月",臺東縣,30,30,0,0,0,0,0,0
"110年 6月",屏東縣,90,86,3,1,0,0,0,1.11
"110年 6月",嘉義縣,60,60,0,0,0,0,0,0
"110年 6月",雲林縣,60,57,3,0,0,0,0,0
"110年 6月",南投縣,60,54,6,0,0,0,0,0
"110年 6月",彰化縣,60,58,2,0,0,0,0,0
"110年 6月",苗栗縣,60,60,0,0,0,0,0,0
"110年 6月",新竹縣,60,53,7,0,0,0,0,0
"110年 6月",宜蘭縣,60,58,2,0,0,0,0,0
"110年 6月",高雄市,240,223,17,0,0,0,0,0
"110年 6月",臺南市,120,108,12,0,0,0,0,0
"110年 6月",臺中市,150,145,5,0,0,0,0,0
"110年 6月",桃園市,120,108,12,0,0,0,0,0
"110年 6月",臺北市,150,135,15,0,0,0,0,0
"110年 6月",新北市,270,230,38,2,0,0,0,0.74
"110年 6月",總計,1800,1639,156,5,0,0,0,0.28
"110年 5月",連江縣,31,8,16,4,3,0,0,22.58
"110年 5月",金門縣,31,20,7,4,0,0,0,12.9
"110年 5月",嘉義市,31,24,7,0,0,0,0,0
"110年 5月",新竹市,31,23,6,2,0,0,0,6.45
"110年 5月",基隆市,31,22,8,1,0,0,0,3.23
"110年 5月",澎湖縣,31,24,7,0,0,0,0,0
"110年 5月",花蓮縣,31,29,2,0,0,0,0,0
"110年 5月",臺東縣,31,30,1,0,0,0,0,0
"110年 5月",屏東縣,93,77,14,1,1,0,0,2.15
"110年 5月",嘉義縣,62,48,11,3,0,0,0,4.84
"110年 5月",雲林縣,62,47,11,3,1,0,0,6.45
"110年 5月",南投縣,62,43,15,3,1,0,0,6.45
"110年 5月",彰化縣,62,49,12,1,0,0,0,1.61
"110年 5月",苗栗縣,62,51,11,0,0,0,0,0
"110年 5月",新竹縣,62,43,14,5,0,0,0,8.06
"110年 5月",宜蘭縣,62,58,4,0,0,0,0,0
"110年 5月",高雄市,248,188,45,15,0,0,0,6.05
"110年 5月",臺南市,124,102,17,5,0,0,0,4.03
"110年 5月",臺中市,155,108,42,5,0,0,0,3.23
"110年 5月",桃園市,124,78,38,8,0,0,0,6.45
"110年 5月",臺北市,155,63,87,5,0,0,0,3.23
"110年 5月",新北市,279,134,126,17,2,0,0,6.81
"110年 5月",總計,1860,1269,501,82,8,0,0,4.84
"110年 4月",連江縣,30,0,21,7,2,0,0,30
"110年 4月",金門縣,30,2,20,7,1,0,0,26.67
"110年 4月",嘉義市,30,0,27,3,0,0,0,10
"110年 4月",新竹市,30,9,16,4,1,0,0,16.67
"110年 4月",基隆市,30,16,13,1,0,0,0,3.33
"110年 4月",澎湖縣,30,9,17,4,0,0,0,13.33
"110年 4月",花蓮縣,30,18,12,0,0,0,0,0
"110年 4月",臺東縣,30,21,8,1,0,0,0,3.33
"110年 4月",屏東縣,90,21,50,18,1,0,0,21.11
"110年 4月",嘉義縣,60,3,50,7,0,0,0,11.67
"110年 4月",雲林縣,60,1,45,13,1,0,0,23.33
"110年 4月",南投縣,60,1,41,17,1,0,0,30
"110年 4月",彰化縣,60,3,54,2,1,0,0,5
"110年 4月",苗栗縣,60,17,43,0,0,0,0,0
"110年 4月",新竹縣,60,16,34,6,4,0,0,16.67
"110年 4月",宜蘭縣,60,43,17,0,0,0,0,0
"110年 4月",高雄市,240,11,146,82,1,0,0,34.58
"110年 4月",臺南市,120,4,86,30,0,0,0,25
"110年 4月",臺中市,150,17,124,7,2,0,0,6
"110年 4月",桃園市,120,47,60,12,1,0,0,10.83
"110年 4月",臺北市,150,62,74,12,2,0,0,9.33
"110年 4月",新北市,270,107,135,22,6,0,0,10.37
"110年 4月",總計,1800,428,1093,255,24,0,0,15.5
"110年 3月",連江縣,31,3,26,2,0,0,0,6.45
"110年 3月",金門縣,31,1,25,5,0,0,0,16.13
"110年 3月",嘉義市,31,0,12,15,4,0,0,61.29
"110年 3月",新竹市,31,4,25,2,0,0,0,6.45
"110年 3月",基隆市,31,12,19,0,0,0,0,0
"110年 3月",澎湖縣,31,7,22,2,0,0,0,6.45
"110年 3月",花蓮縣,31,26,5,0,0,0,0,0
"110年 3月",臺東縣,31,27,4,0,0,0,0,0
"110年 3月",屏東縣,91,20,49,21,1,0,0,24.18
"110年 3月",嘉義縣,62,5,31,26,0,0,0,41.94
"110年 3月",雲林縣,62,1,31,26,4,0,0,48.39
"110年 3月",南投縣,62,0,42,19,1,0,0,32.26
"110年 3月",彰化縣,62,2,41,17,2,0,0,30.65
"110年 3月",苗栗縣,62,11,47,4,0,0,0,6.45
"110年 3月",新竹縣,62,11,45,6,0,0,0,9.68
"110年 3月",宜蘭縣,62,43,19,0,0,0,0,0
"110年 3月",高雄市,248,6,117,120,5,0,0,50.4
"110年 3月",臺南市,124,5,63,53,3,0,0,45.16
"110年 3月",臺中市,151,12,120,19,0,0,0,12.58
"110年 3月",桃園市,124,16,92,16,0,0,0,12.9
"110年 3月",臺北市,155,20,127,8,0,0,0,5.16
"110年 3月",新北市,279,57,208,14,0,0,0,5.02
"110年 3月",總計,1854,289,1170,375,20,0,0,21.31
"110年 2月",連江縣,28,6,14,8,0,0,0,28.57
"110年 2月",金門縣,28,3,16,8,1,0,0,32.14
"110年 2月",嘉義市,28,0,11,14,3,0,0,60.71
"110年 2月",新竹市,28,7,15,5,1,0,0,21.43
"110年 2月",基隆市,28,13,15,0,0,0,0,0
"110年 2月",澎湖縣,28,4,21,3,0,0,0,10.71
"110年 2月",花蓮縣,28,20,8,0,0,0,0,0
"110年 2月",臺東縣,28,24,4,0,0,0,0,0
"110年 2月",屏東縣,84,19,43,20,2,0,0,26.19
"110年 2月",嘉義縣,56,3,25,20,8,0,0,50
"110年 2月",雲林縣,56,2,24,23,7,0,0,53.57
"110年 2月",南投縣,56,1,33,19,3,0,0,39.29
"110年 2月",彰化縣,56,3,31,16,6,0,0,39.29
"110年 2月",苗栗縣,56,10,39,7,0,0,0,12.5
"110年 2月",新竹縣,56,14,32,8,2,0,0,17.86
"110年 2月",宜蘭縣,56,39,17,0,0,0,0,0
"110年 2月",高雄市,224,3,111,102,8,0,0,49.11
"110年 2月",臺南市,112,2,50,52,8,0,0,53.57
"110年 2月",臺中市,140,14,87,32,7,0,0,27.86
"110年 2月",桃園市,112,27,64,18,3,0,0,18.75
"110年 2月",臺北市,140,40,86,13,1,0,0,10
"110年 2月",新北市,252,87,141,23,1,0,0,9.52
"110年 2月",總計,1680,341,887,391,61,0,0,26.9
"110年 1月",連江縣,31,1,25,5,0,0,0,16.13
"110年 1月",金門縣,31,0,23,8,0,0,0,25.81
"110年 1月",嘉義市,31,2,13,12,4,0,0,51.61
"110年 1月",新竹市,31,12,19,0,0,0,0,0
"110年 1月",基隆市,31,21,10,0,0,0,0,0
"110年 1月",澎湖縣,31,8,22,1,0,0,0,3.23
"110年 1月",花蓮縣,31,26,5,0,0,0,0,0
"110年 1月",臺東縣,31,27,4,0,0,0,0,0
"110年 1月",屏東縣,93,26,38,22,7,0,0,31.18
"110年 1月",嘉義縣,62,8,37,17,0,0,0,27.42
"110年 1月",雲林縣,62,6,34,18,4,0,0,35.48
"110年 1月",南投縣,62,5,42,14,1,0,0,24.19
"110年 1月",彰化縣,62,13,37,11,1,0,0,19.35
"110年 1月",苗栗縣,62,28,34,0,0,0,0,0
"110年 1月",新竹縣,62,31,31,0,0,0,0,0
"110年 1月",宜蘭縣,62,45,17,0,0,0,0,0
"110年 1月",高雄市,248,4,137,78,29,0,0,43.15
"110年 1月",臺南市,124,6,70,34,14,0,0,38.71
"110年 1月",臺中市,155,48,87,20,0,0,0,12.9
"110年 1月",桃園市,124,59,65,0,0,0,0,0
"110年 1月",臺北市,155,66,89,0,0,0,0,0
"110年 1月",新北市,279,135,143,1,0,0,0,0.36
"110年 1月",總計,1860,577,982,241,60,0,0,16.18
110年,連江縣,365,125,195,39,6,0,0,12.33
110年,金門縣,365,139,175,48,3,0,0,13.97
110年,嘉義市,365,144,146,64,11,0,0,20.55
110年,新竹市,365,209,136,18,2,0,0,5.48
110年,基隆市,365,265,98,2,0,0,0,0.55
110年,澎湖縣,365,201,151,13,0,0,0,3.56
110年,花蓮縣,365,327,38,0,0,0,0,0
110年,臺東縣,365,341,23,1,0,0,0,0.27
110年,屏東縣,1093,577,345,156,15,0,0,15.65
110年,嘉義縣,730,309,326,87,8,0,0,13.01
110年,雲林縣,730,273,326,114,17,0,0,17.95
110年,南投縣,730,271,331,115,13,0,0,17.53
110年,彰化縣,730,341,304,72,13,0,0,11.64
110年,苗栗縣,730,431,263,31,5,0,0,4.93
110年,新竹縣,730,449,237,38,6,0,0,6.03
110年,宜蘭縣,730,642,88,0,0,0,0,0
110年,高雄市,2915,1005,1293,563,54,0,0,21.17
110年,臺南市,1460,593,618,224,25,0,0,17.05
110年,臺中市,1821,869,785,141,26,0,0,9.17
110年,桃園市,1460,887,513,56,4,0,0,4.11
110年,臺北市,1823,987,785,46,5,0,0,2.8
110年,新北市,3285,1944,1240,92,9,0,0,3.07
110年,總計,21887,11329,8416,1920,222,0,0,9.79
"109年 12月",連江縣,31,4,22,5,0,0,0,16.13
"109年 12月",金門縣,31,11,17,3,0,0,0,9.68
"109年 12月",嘉義市,31,4,22,5,0,0,0,16.13
"109年 12月",新竹市,31,26,5,0,0,0,0,0
"109年 12月",基隆市,31,24,7,0,0,0,0,0
"109年 12月",澎湖縣,31,21,10,0,0,0,0,0
"109年 12月",花蓮縣,31,30,1,0,0,0,0,0
"109年 12月",臺東縣,31,31,0,0,0,0,0,0
"109年 12月",屏東縣,93,30,43,20,0,0,0,21.51
"109年 12月",嘉義縣,62,28,28,5,1,0,0,9.68
"109年 12月",雲林縣,62,25,31,6,0,0,0,9.68
"109年 12月",南投縣,62,22,37,3,0,0,0,4.84
"109年 12月",彰化縣,62,35,23,4,0,0,0,6.45
"109年 12月",苗栗縣,62,50,11,1,0,0,0,1.61
"109年 12月",新竹縣,62,52,10,0,0,0,0,0
"109年 12月",宜蘭縣,62,59,3,0,0,0,0,0
"109年 12月",高雄市,248,4,196,47,1,0,0,19.35
"109年 12月",臺南市,124,35,74,15,0,0,0,12.1
"109年 12月",臺中市,155,109,42,4,0,0,0,2.58
"109年 12月",桃園市,124,92,32,0,0,0,0,0
"109年 12月",臺北市,155,116,39,0,0,0,0,0
"109年 12月",新北市,279,210,68,1,0,0,0,0.36
"109年 12月",總計,1860,1018,721,119,2,0,0,6.51
"109年 11月",連江縣,30,9,17,1,3,0,0,13.33
"109年 11月",金門縣,30,10,17,2,1,0,0,10
"109年 11月",嘉義市,30,0,28,2,0,0,0,6.67
"109年 11月",新竹市,30,21,7,2,0,0,0,6.67
"109年 11月",基隆市,30,24,5,1,0,0,0,3.33
"109年 11月",澎湖縣,30,19,10,1,0,0,0,3.33
"109年 11月",花蓮縣,30,26,4,0,0,0,0,0
"109年 11月",臺東縣,30,27,3,0,0,0,0,0
"109年 11月",屏東縣,90,28,46,15,1,0,0,17.78
"109年 11月",嘉義縣,60,10,45,5,0,0,0,8.33
"109年 11月",雲林縣,60,6,47,7,0,0,0,11.67
"109年 11月",南投縣,60,8,46,6,0,0,0,10
"109年 11月",彰化縣,60,21,34,5,0,0,0,8.33
"109年 11月",苗栗縣,60,40,20,0,0,0,0,0
"109年 11月",新竹縣,60,40,18,2,0,0,0,3.33
"109年 11月",宜蘭縣,60,54,6,0,0,0,0,0
"109年 11月",高雄市,240,9,179,49,2,1,0,21.67
"109年 11月",臺南市,120,10,103,7,0,0,0,5.83
"109年 11月",臺中市,150,65,81,4,0,0,0,2.67
"109年 11月",桃園市,120,94,22,4,0,0,0,3.33
"109年 11月",臺北市,150,129,20,1,0,0,0,0.67
"109年 11月",新北市,270,208,56,5,1,0,0,2.22
"109年 11月",總計,1800,858,814,119,8,1,0,7.11
"109年 10月",連江縣,31,1,19,11,0,0,0,35.48
"109年 10月",金門縣,31,1,21,9,0,0,0,29.03
"109年 10月",嘉義市,31,1,28,2,0,0,0,6.45
"109年 10月",新竹市,31,22,8,1,0,0,0,3.23
"109年 10月",基隆市,31,18,13,0,0,0,0,0
"109年 10月",澎湖縣,31,11,20,0,0,0,0,0
"109年 10月",花蓮縣,31,30,1,0,0,0,0,0
"109年 10月",臺東縣,31,31,0,0,0,0,0,0
"109年 10月",屏東縣,93,26,36,28,3,0,0,33.33
"109年 10月",嘉義縣,62,4,51,6,1,0,0,11.29
"109年 10月",雲林縣,62,5,41,16,0,0,0,25.81
"109年 10月",南投縣,62,4,31,26,1,0,0,43.55
"109年 10月",彰化縣,62,16,44,2,0,0,0,3.23
"109年 10月",苗栗縣,62,51,10,1,0,0,0,1.61
"109年 10月",新竹縣,62,44,16,2,0,0,0,3.23
"109年 10月",宜蘭縣,62,61,1,0,0,0,0,0
"109年 10月",高雄市,248,1,136,106,5,0,0,44.76
"109年 10月",臺南市,124,2,85,37,0,0,0,29.84
"109年 10月",臺中市,155,64,75,14,2,0,0,10.32
"109年 10月",桃園市,124,104,18,2,0,0,0,1.61
"109年 10月",臺北市,155,130,25,0,0,0,0,0
"109年 10月",新北市,279,219,59,1,0,0,0,0.36
"109年 10月",總計,1860,846,738,264,12,0,0,14.84
"109年 9月",連江縣,30,5,12,8,5,0,0,43.33
"109年 9月",金門縣,30,8,14,8,0,0,0,26.67
"109年 9月",嘉義市,30,6,12,11,1,0,0,40
"109年 9月",新竹市,30,14,13,1,2,0,0,10
"109年 9月",基隆市,30,18,10,2,0,0,0,6.67
"109年 9月",澎湖縣,30,18,9,3,0,0,0,10
"109年 9月",花蓮縣,30,24,6,0,0,0,0,0
"109年 9月",臺東縣,30,27,3,0,0,0,0,0
"109年 9月",屏東縣,90,37,23,23,7,0,0,33.33
"109年 9月",嘉義縣,60,12,28,18,2,0,0,33.33
"109年 9月",雲林縣,60,12,22,13,11,2,0,43.33
"109年 9月",南投縣,60,11,17,23,9,0,0,53.33
"109年 9月",彰化縣,60,21,29,8,2,0,0,16.67
"109年 9月",苗栗縣,60,24,31,3,2,0,0,8.33
"109年 9月",新竹縣,60,27,26,3,4,0,0,11.67
"109年 9月",宜蘭縣,60,49,9,2,0,0,0,3.33
"109年 9月",高雄市,240,42,100,85,13,0,0,40.83
"109年 9月",臺南市,120,21,55,39,5,0,0,36.67
"109年 9月",臺中市,150,52,64,27,4,3,0,22.67
"109年 9月",桃園市,120,58,47,9,4,2,0,12.5
"109年 9月",臺北市,150,98,34,12,6,0,0,12
"109年 9月",新北市,270,146,90,16,18,0,0,12.59
"109年 9月",總計,1800,730,654,314,95,7,0,23.11
"109年 8月",連江縣,31,24,6,0,1,0,0,3.23
"109年 8月",金門縣,31,25,6,0,0,0,0,0
"109年 8月",嘉義市,31,27,4,0,0,0,0,0
"109年 8月",新竹市,31,23,6,2,0,0,0,6.45
"109年 8月",基隆市,31,27,4,0,0,0,0,0
"109年 8月",澎湖縣,31,29,2,0,0,0,0,0
"109年 8月",花蓮縣,31,29,2,0,0,0,0,0
"109年 8月",臺東縣,31,27,4,0,0,0,0,0
"109年 8月",屏東縣,93,75,18,0,0,0,0,0
"109年 8月",嘉義縣,62,54,8,0,0,0,0,0
"109年 8月",雲林縣,62,50,11,1,0,0,0,1.61
"109年 8月",南投縣,62,51,10,1,0,0,0,1.61
"109年 8月",彰化縣,62,56,6,0,0,0,0,0
"109年 8月",苗栗縣,62,56,6,0,0,0,0,0
"109年 8月",新竹縣,62,48,11,3,0,0,0,4.84
"109年 8月",宜蘭縣,62,58,4,0,0,0,0,0
"109年 8月",高雄市,248,199,45,4,0,0,0,1.61
"109年 8月",臺南市,124,110,14,0,0,0,0,0
"109年 8月",臺中市,155,110,41,4,0,0,0,2.58
"109年 8月",桃園市,123,102,19,2,0,0,0,1.63
"109年 8月",臺北市,155,131,24,0,0,0,0,0
"109年 8月",新北市,279,225,50,4,0,0,0,1.43
